id,nombre,carrera_id
183,Computación I,5
184,Medios Expresivos II,5
185,Taller de Diseño II,5
186,Espacio Tipográfico II,5
187,Historia de la Comunicación visual,5
188,Metodología de la Investigación,5
189,Taller de Diseño III,5
190,Tecnología II,5
191,Computación II,5
192,Fotografía,5
193,Medios Expresivos III,5
194,Espacio Tipográfico III,5
195,Historia Social del Diseño,5
196,Taller de Diseño IV,5
197,Computación III,5
198,Taller de Diseño Orientado,5
199,Comunicación,5
200,Teoría del Diseño II,5
201,Semiótica,5
202,Video,5
203,Taller de Trabajo Final Integrador,5
204,Práctica Pre Profesional,5
205,Estética,5
206,Ética profesional,5
207,Taller de Trabajo Final Integrador,5
208,Idioma Extranjero I,5
209,Idioma Extranjero II,5
210,Seminario de Pensamiento Nacional y Latinoamericano,5
211,Seminario de Justicia y Derechos Humanos,5
212,Historia Económica Contemporánea,6
213,Contabilidad,6
214,Introducción a la Matemática,6
215,Taller de Producción de Textos de Economía y Administración,6
216,Economía y Sociedad,6
217,Organización y Gestión,6
218,Elementos de Matemática,6
219,Microeconomía,6
220,Derecho Comercial,6
221,Cálculo Financiero y Desarrollo Estadístico Aplicado,6
222,Macroeconomía,6
223,Costos Empresariales,6
224,Derecho Tributario,6
225,Organización de la Producción y la Tecnología,6
226,Control de Gestión,6
227,Macroeconomía y Política Económica,6
228,Comercialización,6
229,Derecho del Trabajo y de la Seguridad Social,6
230,Comercio Exterior y Economía Internacional,6
231,Financiamiento,6
232,Plan de Negocios,6
233,Taller de Integración I,6
234,Formulación y Evaluación de Proyectos,6
235,Gestión Ambiental y Empresa,6
236,Sistemas de organización,6
237,Economía bancaria y financiera,6
238,Administración de los Recursos Humanos,6
239,Economía Industrial,6
240,Taller de Integración II,6
241,Inglés I,6
242,Informática: Módulo 8 - Gestión de proyectos,6
243,Informática: Módulo 11 - Programa Estadístico para las Ciencias Sociales I,6
244,Seminario de Justicia y Derechos Humanos,6
245,Seminario de Pensamiento Nacional y Latinoamericano,6
246,Problemas actuales de la economía argentina,6
247,Ética y Empresa,6
248,Mediación y Negociación,6
249,Políticas y Estrategias para el Desarrollo Regional y Local,6
250,Taller de Trabajo Final Integrador,6
251,Seminario: Responsabilidad Social Empresaria,6
252,Planeamiento Estratégico y Toma de Decisiones,6
253,Seminario Economía Social,6
